"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,527","4,073","28.25%"
"Central Mississippi Correctional Facility","3,665","3,598","24.96%"
"South Mississippi Correctional Institution","3,204","3,080","21.36%"
"County Jails - Approved*","1,820","1,539","10.67%"
"County Jails - Unapproved**","0","328","2.28%"
"Community Work Centers","1,848","1,799","12.48%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,064","14,417","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","294","9.55%"
"Carroll County Correctional Facility","280","280","9.10%"
"George County Correctional Facility","280","278","9.03%"
"Holmes County Correctional Facility","280","280","9.10%"
"Issaquena County Correctional Facility","274","271","8.80%"
"Jefferson County Correctional Facility","280","278","9.03%"
"Kemper County Correctional Facility","280","279","9.06%"
"Leake County Correctional Facility","280","280","9.10%"
"Marion County Correctional Facility","280","279","9.06%"
"Stone County Correctional Facility","280","279","9.06%"
"Winston County Correctional Facility","280","280","9.10%"
"TOTAL REGIONAL FACILITIES","3,088","3,078","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","973","19.46%"
"East MS Correctional Facility","1,500","895","17.90%"
"Marshall County Correctional Facility","1,000","997","19.94%"
"Walnut Grove Correctional Facility","1,500","1,143","22.86%"
"Wilkinson County Correctional Facility","1,000","993","19.86%"
"TOTAL PRIVATE PRISONS","5,972","5,001","100.00%"
"Community Trusties","02
2","20","0.08%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","83","0.31%"
"Court Order","0","339","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,146","22,938","86.89%"
"Intensive Supervision Program","0","1,211","4.59%"
"Earned Release Supervision Program","00","1,841","6.97%"
"Medical Release","","34","0.13%"
"TOTAL COMMUNITY CORRECTIONS","00","3,086","11.69%"
"Other Custody","","312","1.18%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","58","0.22%"
"TOTAL","24,146","26,399","100.00%"
