"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,534","4,500","33.00%"
"Central Mississippi Correctional Facility","3,381","3,383","24.81%"
"South Mississippi Correctional Institution","2,564","2,475","18.15%"
"County Jails - Approved*","1,773","1,390","10.19%"
"County Jails - Unapproved**","0","123","0.90%"
"Community Work Centers","1,816","1,767","12.96%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,068","13,638","100.00%"
"Bolivar County Correctional Facility","294","290","9.48%"
"Carroll County Correctional Facility","280","276","9.02%"
"George County Correctional Facility","280","279","9.12%"
"Holmes County Correctional Facility","280","278","9.09%"
"Issaquena County Correctional Facility","274","270","8.83%"
"Jefferson County Correctional Facility","274","272","8.89%"
"Kemper County Correctional Facility","280","278","9.09%"
"Leake County Correctional Facility","280","279","9.12%"
"Marion County Correctional Facility","280","280","9.15%"
"Stone County Correctional Facility","280","279","9.12%"
"Winston County Correctional Facility","280","278","9.09%"
"TOTAL REGIONAL FACILITIES","3,082","3,059","100.00%"
"Delta Correctional Facility","972","966","19.86%"
"East MS Correctional Facility","1,000","885","18.19%"
"Marshall County Correctional Facility","1,000","990","20.35%"
"Tallahatchie County Correctional Facility","128","127","2.61%"
"Walnut Grove Correctional Facility","1,000","930","19.12%"
"Wilkinson County Correctional Facility","1,000","967","19.88%"
"TOTAL PRIVATE PRISONS","5,100","4,865","100.00%"
"Community Trusties","02
2","16","0.06%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","66","0.26%"
"Court Order","0","317","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,272","21,961","86.15%"
"Intensive Supervision Program","0","1,430","5.61%"
"Earned Release Supervision Program","00","1,689","6.63%"
"Medical Release","","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3,127","12.27%"
"Other Custody","","299","1.17%"
"Off-Grounds Medical (Hospital)","0","12","0.05%"
"At Large (Escapees & Walk-Aways)","0","93","0.36%"
"TOTAL","22,272","25,492","100.00%"
