"","","As of July 1, 2019","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","382","375","552","1,911","3,220"
"CMCF","956","945","354","1,413","3,668"
"SMCI","456","395","498","1,301","2,650"
"Youthful Offender Facility","0","6","2","19","27"
"County Jails (approved)","362","164","8","167","701"
"County Jails (unapproved)","127","121","11","82","341"
"Private Prisons","245","244","543","2,125","3,157"
"Regional Correctional Facilities","720","581","849","2,146","4,296"
"Community Work Centers","392","139","0","108","639"
"Community Trusties","6","1","0","1","8"
"Pending File Review","25","29","0","22","76"
"Court Order","91","83","14","90","278"
"Transitional Housing","13","9","1","9","32"
"RRP","25","37","0","6","68"
"TVC","49","13","0","14","76"
"TOTAL CUSTODY POPULATION","3,849","3,142","2,832","9,414","19,237"
"% OF TOTAL OFFENSES","20.01%","16.33%","14.72%","48.94%","100.00%"
"Intensive Supervison Program","342","385","7","92","826"
"Earned Release Supervision","43","37","12","487","579"
"Medical Release","8","2","0","4","14"
"Other Custody","155","169","26","126","476"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2","2"
"FTR- Monitoring","2","31","1","0","34"
"Off-Grounds Medical (Hospital)","3","1","2","2","8"
"TOTAL","4,408","3,778","2,880","10,134","21,200"
"% OF TOTAL OFFENSES","20.79%","17.82%","13.59%","47.80%","100.00%"
