"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","18,581","48.20%",""
"Community Corrections (ERS, ISP, Medical Release)","2,239","5.81%",""
"Other Custody","210","0.54%",""
"At Large (Escapees & Walk-Aways)","78","0.20%",""
"University of MS Medical Center","6","0.02%",""
"","21,114","54.77%","Inmate Total"
"PAROLEES","1,638","4.25%",""
"PROBATIONERS","15,796","40.98%",""
"","17,434","45.23%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,548","100.00%",""
