"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","19,787","30.43%"
"Community Corrections (ERS, ISP, Medical Release)","2,804","4.31%"
"Other Custody","491",".76%"
"At Large (Escapees & Walk-Aways)","29",".04%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","23,119","35.56%"
"PAROLEES","9,156","14.08%"
"TVC Parole","175","0.27%"
"PROBATIONERS","32,463","49.93%"
"TVC Probation","103","0.16%"
"PAROLEE AND PROBATIONER TOTAL","41,897","64.44%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,016","100.00%"
