"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,529","35.96%"
"Community Corrections (ERS, ISP, Medical Release)","3,301","5.27%"
"Other Custody","480",".77%"
"At Large (Escapees & Walk-Aways)","33",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","26,355","42.06%"
"PAROLEES","6,447","10.29%"
"PROBATIONERS","29,854","47.65%"
"PAROLEE AND PROBATIONER TOTAL","36,301","57.94%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,656","100.00%"
