"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,534","4,530","33.82%"
"Central Mississippi Correctional Facility","3,381","3,307","24.69%"
"South Mississippi Correctional Institution","2,315","2,255","16.83%"
"County Jails - Approved*","1,846","1,363","10.18%"
"County Jails - Unapproved**","0","160","1.19%"
"Community Work Centers","1,816","1,780","13.29%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,892","13,395","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","294","9.59%"
"Carroll County Correctional Facility","280","279","9.10%"
"George County Correctional Facility","280","278","9.07%"
"Holmes County Correctional Facility","280","280","9.13%"
"Issaquena County Correctional Facility","274","273","8.90%"
"Jefferson County Correctional Facility","274","272","8.87%"
"Kemper County Correctional Facility","280","277","9.03%"
"Leake County Correctional Facility","280","280","9.13%"
"Marion County Correctional Facility","280","278","9.07%"
"Stone County Correctional Facility","280","276","9.00%"
"Winston County Correctional Facility","280","279","9.10%"
"TOTAL REGIONAL FACILITIES","3,082","3,066","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","970","19.95%"
"East MS Correctional Facility","1,000","859","17.67%"
"Marshall County Correctional Facility","1,000","994","20.45%"
"Tallahatchie County Correctional Facility","128","128","2.63%"
"Walnut Grove Correctional Facility","1,000","947","19.48%"
"Wilkinson County Correctional Facility","1,000","963","19.81%"
"TOTAL PRIVATE PRISONS","5,100","4,861","100.00%"
"Community Trusties","02
2","18","0.07%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","59","0.23%"
"Court Order","0","288","1.14%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,096","21,687","85.70%"
"Intensive Supervision Program","0","1,473","5.82%"
"Earned Release Supervision Program","00","1,693","6.69%"
"Medical Release","","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,175","12.55%"
"Other Custody","","313","1.24%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","126","0.50%"
"TOTAL","22,096","25,306","100.00%"
