"","Fact Sheet","",""
"","","As of July 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","8",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","76",".36%"
"TVC","0","76",".36%"
"Transitional Housing","0","32",".15%"
"Court Order","0","278","1.31%"
"RRP","0","68",".32%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,237","90.86%"
"Intensive Supervision Program","0","826","3.90%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","579","2.73%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,427","6.74%"
"Other Custody","","476","2.25%"
"Off-Grounds Medical (Hospital)","","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23,881","21,172","00
00
100.00%"
