"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,069","42.09%"
"Community Corrections (ERS, ISP, Medical Release)","3,405","6.80%"
"Other Custody","285","0.57%"
"At Large (Escapees & Walk-Aways)","101","0.20%"
"Off-Grounds Medical (Hospital)","9","0.02%"
"INMATE TOTAL","24,869","49.68%"
"PAROLEES","2,447","4.89%"
"PROBATIONERS","22,738","45.43%"
"PAROLEE AND PROBATIONER TOTAL","25,185","50.32%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","50,054","100.00%"
