"Fact Sheet","",""
"As of July 2, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,377","35.92%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,371","2.54%"
"Other Custody","445",".83%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","21,231","39.36%"
"PAROLEES","8,667","16.07%"
"TVC Parole","240","0.44%"
"PROBATIONERS","23,701","43.94%"
"TVC Probation","100","0.19%"
"PAROLEE AND PROBATIONER TOTAL","32,708","60.64%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,939","100.00%"
