"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,356","3,236","26.19%"
"Central Mississippi Correctional Facility","3,449","3,144","25.44%"
"South Mississippi Correctional Institution","3,204","3,185","25.77%"
"County Jails - Approved*","1,608","1,131","9.15%"
"County Jails - Unapproved**","0","252","2.04%"
"Community Work Centers","1,848","1,410","11.41%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,465","12,358","100.00%"
"Bolivar County Correctional Facility","294","235","7.81%"
"Carroll County Correctional Facility","280","224","7.44%"
"Chickasaw County Correctional Facility","300","244","8.11%"
"George County Correctional Facility","280","225","7.48%"
"Holmes County Correctional Facility","280","224","7.44%"
"Issaquena County Correctional Facility","274","219","7.28%"
"Jefferson County Correctional Facility","280","223","7.41%"
"Kemper County Correctional Facility","355","285","9.47%"
"Leake County Correctional Facility","280","224","7.44%"
"Marion County Correctional Facility","280","221","7.34%"
"Stone County Correctional Facility","280","223","7.41%"
"Winston County Correctional Facility","280","224","7.44%"
"Yazoo County Correctional Facility","300","239","7.94%"
"TOTAL REGIONAL FACILITIES","3,763","3,010","100.00%"
"Delta Correctional Facility","972","906","17.28%"
"East MS Correctional Facility","1,500","1,372","26.17%"
"Marshall County Correctional Facility","1,000","924","17.63%"
"Walnut Grove Correctional Facility","1,500","1,157","22.07%"
"Wilkinson County Correctional Facility","1,000","883","16.84%"
"TOTAL PRIVATE PRISONS","5,972","5,242","100.00%"
"Community Trusties","22","14",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","124",".50%"
"Court Order","0","306","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,222","21,054","85.54%"
"Intensive Supervision Program","0","1,633","6.63%"
"Earned Release Supervision Program","00","1,455","5.91%"
"Medical Release","","39",".16%"
"TOTAL COMMUNITY CORRECTIONS","00","3,127","12.70%"
"Other Custody","","380","1.54%"
"Off-Grounds Medical (Hospital)","","13",".05%"
"At Large (Escapees & Walk-Aways)","00","39",".16%"
"TOTAL","23,222","24,613","100.00%"
