"","","","","","","","As of July 1, 2005","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","% OF","","","","","","% OF","","",""
"","","TOTAL MALE","","","","","TOTAL FEMALE","","","NO. OF","","TOTAL","","","",""
"RACE
MALE","","POPULATION","","","FEMALE","","POPULATION","","","OFFENDERS","","","OFFENDERS","","",""
"Black
15,427","","68.84%","","","1,196","","51.24%","","","16,623","","","67.18%","","",""
"White
6,751","","30.12%","","","1,115","","47.77%","","","7,866","","","31.79%","","",""
"Hispanic
150","","0.67%","","","0","","0.43%","","","160","","0.65%","","","",""
"Native American
25","","0.11%","","","31","","0.13%","","","28","","0.11%","","","",""
"Asian
39","","0.17%","","","","","0.30%","","","46","","0.19%","","","",""
"Data Unavailable
19","","0.08%","","","7 3","","0.13%","","","22","","0.09%","","","",""
"TOTAL
22,411","","100.00%","","","2,334","","100.00%","","","24,745","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","","Black","","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","3,281","","0","1,272","","0","37","0","5","","0","4","0","1","0","4,600"
"CMCF","1,132","","735","588","","629","11","7","3","","1","3","5","2","0","3,116"
"SMCI","1,441","","0","697","","0","24","0","2","","0","10","0","0","0","2,174"
"County Jails (approved)","630","","57","439","","69","7","1","1","","2","4","0","4","1","1,215"
"County Jails (unapproved)","13","","0","10","","2","0","0","0","","0","0","0","0","0","25"
"Private Prisons","3,614","","0","1,183","","0","18","0","7","","0","10","0","0","0","4,832"
"Regional Correctional Facilities","2,020","","0","698","","0","17","0","1","","0","2","0","0","0","2,738"
"Community Work Centers","989","","113","471","","96","5","1","2","","0","3","0","0","0","1,680"
"Community Trusties","10","","0","10","","0","0","0","0","","0","0","0","0","0","20"
"Pending File Review","7","","4","6","","2","0","0","0","","0","0","0","0","0","19"
"","13,137","","909","5,374","","798","119","9","21","","3","36","5","7","1","20,419"
"Intensive Supervison Program","690","","137","597","","195","5","1","1","","0","3","1","10","2","1,642"
"Earned Release Supervision","1,218","","123","466","","69","4","0","1","","0","0","0","0","0","1,881"
"Medical Release","3","","0","3","","1","0","0","0","","0","0","0","0","0","7"
"Other Custody","131","","7","123","","11","19","0","0","","0","0","0","2","0","293"
"Court Order","181","","16","156","","36","0","0","2","","0","0","1","0","0","392"
"At Large","64","","4","32","","4","3","0","0","","0","0","0","0","0","107"
"Off-Grounds Medical (Hospital)","3","","0","0","","1","0","0","0","","0","0","0","0","0","4"
"TOTAL","15,427","","1,196","6,751","","1,115","150","10","25","","3","39","7","19","3","24,745"
"% OF TOTAL OFFENSES","62.34%","","4.83%","27.28%","","4.51%","0.61%","0.04%","0.10%","","0.01%","0.16%","0.03%","0.08%","0.01%","100.00%"
