"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,087","35.76%"
"Community Corrections (ERS, ISP, Medical Release)","3,125","5.30%"
"Other Custody","386",".65%"
"At Large (Escapees & Walk-Aways)","38",".06%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","24,646","41.79%"
"PAROLEES","6,817","11.56%"
"PROBATIONERS","27,513","46.65%"
"PAROLEE AND PROBATIONER TOTAL","34,330","58.21%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","58,976","100.00%"
