"","","Fact Sheet","","",""
"","","As of December 4,2017","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","36","",".17%"
"Emergency Suspension","","","0","",".00%"
"Pending File Review","","","103","",".49%"
"TVC","0","","18","",".09%"
"Transitional Housing","0","","36","","0.2%"
"Court Order","0","","233","","1.12%"
"RRP","0","","101","",".48%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","19,042","","91.23%"
"Intensive Supervision Program","0","","712","","3.41%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","607","","2.91%"
"Failure to Register-Monitoring","0","","5","","0.02%"
"Medical Release","0","","13","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,340","","6.42%"
"Other Custody","0","","450","","2.16%"
"Off-Grounds Medical (Hospital)","0","","12","","0.06%"
"At Large (Escapees & Walk-Aways)","0","","29","","0.14%"
"TOTAL","23,881","","20,873","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,342
64.41%","","622","36.35%","12,964","62.11%"
"White
6,552
34.19%","","1,066","62.30%","7,618","36.50%"
"Hispanic
193
1.01%","","14",".82%","207",".99%"
"Native American
28
.15%","","4",".23%","32",".15%"
"Asian
39
.20%","","4",".23%","43",".21%"
"Data Unavailable
8
.04%","","1",".06%","9",".04%"
"TOTAL
19,162
100.00%","","1,711","100.00%","20,873","00
100.00%"
