"","Fact Sheet","",""
"","","As of May 1 , 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","110",".54%"
"TVC","0","62",".30%"
"Transitional Housing","0","13",".06%"
"Court Order","0","474","2.32%"
"RRP","0","63",".31%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","18,417","90.31%"
"Intensive Supervision Program","0","906","4.44%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","536","2.63%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,468","7.20%"
"Other Custody","0","474","2.32%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,225","20,393","100.00%"
