"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,350","15.78%"
"Central Mississippi Correctional Facility","3,506","2,776","13.08%"
"South Mississippi Correctional Institution","3,082","2,999","14.13%"
"Youthful Offender Facility","58","32","0.15%"
"County Jails - Approved*","1,986","858","4.04%"
"County Jails - Unapproved**","0","365","1.72%"
"Community Work Centers","1,700","945","4.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,922","11,325","53.36%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","240","237","1.12%"
"Bolivar County Correctional Facility","369","298","1.40%"
"Carroll County Correctional Facility","280","243","1.14%"
"Chickasaw County Correctional Facility","300","240","1.13%"
"George County Correctional Facility","280","200","0.94%"
"Holmes County Correctional Facility","280","203","0.96%"
"Issaquena County Correctional Facility","274","239","1.13%"
"Jefferson County Correctional Facility","280","239","1.13%"
"Kemper County Correctional Facility","355","259","1.22%"
"Leake County Correctional Facility","280","200","0.94%"
"Marion County Correctional Facility","280","200","0.94%"
"Stone County Correctional Facility","280","200","0.94%"
"Washington County Correctional Facility","300","231","1.09%"
"Winston County Correctional Facility","280","198","0.93%"
"Yazoo County Correctional Facility","300","235","1.11%"
"TOTAL REGIONAL FACILITIES","4,378","3,422","16.12%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,096","5.16%"
"Marshall County Correctional Facility","1,000","993","4.68%"
"Walnut Grove Correctional Facility","1,500","938","4.42%"
"Wilkinson County Correctional Facility","1,000","893","4.21%"
"TOTAL PRIVATE PRISONS","5,972","3,920","18.47%"
"Community Trusties","16","50",".24%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","91",".43%"
"Conditional Release","0","2",".01%"
"Court Order","0","301","1.42%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,272","19,111","90.04%"
"Intensive Supervision Program","0","737","3.47%"
"Earned Release Supervision Program","0","797","3.76%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","","1,548","7.29%"
"Other Custody","","527","2.48%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"Transitional Housing","0","2","0.01%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","24,272","21,224","00
99.99%"
