"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,117","","0","953","","0","20","","0","4","","0","6","","0","1","0","","3,101"
"CMCF","886","","371","504","","398","11","","4","3","","2","3","","2","0","0","","2,184"
"SMCI","1,545","","0","867","","0","32","","0","1","","0","8","","0","0","0","","2,453"
"County Jails (approved)","598","","24","369","","43","4","","0","0","","0","0","","1","0","0","","1,039"
"County Jails (unapproved)","137","","6","70","","17","1","","0","0","","0","0","","0","1","0","","232"
"Youthful Offender Facility","18","","0","4","","0","0","","0","0","","0","0","","0","0","0","","22"
"Private Prisons","2,967","","0","962","","0","29","","0","7","","0","6","","0","0","0","","3,971"
"Regional Correctional Facilities","2,737","","116","1,157","","135","38","","1","3","","0","11","","0","0","0","","4,198"
"Community Work Centers","581","","49","291","","116","0","","1","2","","0","1","","0","2","0","","1,043"
"Community Trusties","4","","0","1","","0","0","","0","0","","0","0","","0","0","0","","5"
"Pending File Review","29","","9","24","","11","1","","0","0","","0","1","","0","0","0","","75"
"Court Order","134","","3","91","","21","1","","0","0","","0","0","","1","0","0","","251"
"","11,753","","578","5,293","","741","137","","6","20","","2","36","","4","4","0","","18,574"
"Intensive Supervison Program","499","","136","388","","221","5","","4","0","","2","3","","0","1","1","","1,260"
"Earned Release Supervision","643","","60","223","","39","4","","2","1","","0","1","","0","0","0","","973"
"Medical Release","9","","0","7","","1","0","","0","0","","0","0","","0","0","0","","17"
"Other Custody","250","","12","183","","25","50","","6","2","","1","4","","0","3","0","","536"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","2","","0","5","","0","0","","0","0","","0","0","","0","0","0","","7"
"TOTAL","13,172","","786","6,105","","1,029","199","","18","23","","5","44","","4","8","1","","21,394"
"% OF TOTAL OFFENDERS","61.57%","","3.67%","28.54%","","4.81%",".93%","",".08%",".11%","",".02%",".21%","",".02%",".04%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","590","","563","","","175","","","1,265","","","508","","","","3,101",""
"CMCF","","","577","","570","","","110","","","678","","","249","","","","2,184",""
"SMCI","","","454","","559","","","117","","","837","","","486","","","","2,453",""
"County Jails (approved)","","","570","","331","","","19","","","70","","","49","","","","1,039",""
"Youthful Offender Facility","","","","","0","","","4","","","14","","","3","","","","22",""
"County Jails (unapproved)","","","6","","113","","","13","","","29","","","11","","","","232",""
"Private Prisons","","","457","","582","","","290","","","1,955","","","687","","","","3,971",""
"Regional Correctional Facilities","","","737","","737","","","369","","","1,454","","","901","","","","4,198",""
"Community Work Centers","","","642","","397","","","0","","","4","","","0","","","","1,043",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","5",""
"Pending File Review","","","8","","0","","","1","","","5","","","1","","","","75",""
"Court Order","","","80","","97","","","20","","","44","","","10","","","","251",""
"TOTAL CUSTODY POPULATION","","","4,207","","3,989","","","1,118","","","6,355","","","2,905","","","","18,574",""
"% OF TOTAL OFFENSES","","","22.65%","","21.48%","","","6.02%","","","34.21%","","","15.64%","","","","100.00%",""
"Intensive Supervison Program","","","525","","683","","","14","","","33","","","5","","","","1,260",""
"Earned Release Supervision","","","264","","141","","","161","","","402","","","5","","","","973",""
"Medical Release","","","9","","6","","","0","","","2","","","","","","","17",""
"Other Custody","","","198","","220","","","27","","","75","","","6","","","","536",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","1","","","2","","","1","","","","7",""
"TOTAL","","","5,209","","5,056","","","1,321","","","6,876","","","2,932","","","","21,394",""
"% OF TOTAL OFFENSES","","","24.35%","","23.63%","","","6.17%","","","32.14%","","","13.71%","","","","100.00%","1 6
5 2
6 0
0 4
31
0 1"
