"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,429","48.38%",""
"Community Corrections (ERS, ISP, Medical Release)","2,513","5.95%",""
"Other Custody","182","0.43%",""
"At Large (Escapees & Walk-Aways)","146","0.35%",""
"University of MS Medical Center","11","0.03%",""
"","23,282","55.13%","Inmate Total"
"PAROLEES","1,781","4.22%",""
"PROBATIONERS","17,167","40.65%",""
"","18,948","44.87%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","42,230","100.00%",""
