"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,363","16.27%"
"Central Mississippi Correctional Facility","3,882","3,320","16.06%"
"South Mississippi Correctional Institution","3,082","3,056","14.78%"
"Youthful Offender Facility","58","23","0.11%"
"County Jails - Approved*","1,781","743","3.59%"
"County Jails - Unapproved**","0","278","1.34%"
"Community Work Centers","1,364","785","3.80%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,757","11,568","55.95%"
"Alcorn County Correctional Facility","300","239","1.16%"
"Bolivar County Correctional Facility","369","291","1.41%"
"Carroll County Correctional Facility","280","224","1.08%"
"Chickasaw County Correctional Facility","310","248","1.20%"
"George County Correctional Facility","280","222","1.07%"
"Holmes County Correctional Facility","280","221","1.07%"
"Issaquena County Correctional Facility","274","273","1.32%"
"Jefferson County Correctional Facility","280","279","1.35%"
"Kemper County Correctional Facility","355","349","1.69%"
"Leake County Correctional Facility","280","199","0.96%"
"Marion County Correctional Facility","280","251","1.21%"
"Stone County Correctional Facility","326","304","1.47%"
"Washington County Correctional Facility","300","220","1.06%"
"Winston County Correctional Facility","280","217","1.05%"
"Yazoo County Correctional Facility","300","237","1.15%"
"TOTAL REGIONAL FACILITIES","4,494","3,774","18.25%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,187","5.74%"
"Marshall County Correctional Facility","1,000","1,000","4.84%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","910","4.40%"
"TOTAL PRIVATE PRISONS","5,972","3,097","14.98%"
"Community Trusties","16","38",".18%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","89",".43%"
"Court Order","0","213","1.03%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,223","18,779","90.83%"
"Intensive Supervision Program","0","732","3.54%"
"Earned Release Supervision Program","0","551","2.67%"
"Transitional Housing","0","1","0.00%"
"Failure to Register-Monitoring","0","3","0.01%"
"Conditional Release","0","2","0.01%"
"RRP","0","52","0.25%"
"Medical Release","0","11","0.05%"
"TOTAL COMMUNITY CORRECTIONS","","1,352","6.54%"
"Other Custody","","506","2.45%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","28","0.14%"
"TOTAL","24,223","20,674","100.00%"
"*NOTE:  The jail capacity is approved by the courts, and includes inmates, sheriff trusties,  and work program participants.","","","0 0"
