"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,541","41.62%"
"Community Corrections (ERS, ISP, Medical Release)","2,885","5.33%"
"Other Custody","326","0.60%"
"At Large (Escapees & Walk-Aways)","49","0.09%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","25,808","47.65%"
"PAROLEES","4,180","7.72%"
"PROBATIONERS","24,173","44.63%"
"PAROLEE AND PROBATIONER TOTAL","28,353","52.35%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,161","100.00%"
