"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","19,905","48.08%",""
"Community Corrections (ERS, ISP, Medical Release)","2,511","6.07%",""
"Other Custody","238","0.57%",""
"At Large (Escapees & Walk-Aways)","92","0.22%",""
"University of MS Medical Center","8","0.02%",""
"","22,754","54.97%","Inmate Total"
"PAROLEES","1,774","4.29%",""
"PROBATIONERS","16,869","40.75%",""
"","18,643","45.03%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","41,397","100.00%",""
