"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","11,041","56.77%","","",""
"Compact Probation","1,100","5.66%","","",""
"Nonadjudicated","1,870","9.62%","","",""
"Post Release","1,677","8.62%","","",""
"","15,688","80.67%","Probation Total","",""
"Parole","1,168","6.01%","","",""
"Compact Parole","432","2.22%","","",""
"Suspension","8","0.04%","","",""
"","1,608","8.27%","Parole Total","",""
"Intensive Supervision Program - Court","861","4.43%","","",""
"Intensive Supervision Program - Prison","319","1.64%","","",""
"Earned Release Supervision","971","4.99%","","",""
"Medical Release","1","0.01%","","",""
"","2,152","11.07%","Community Inmate Total","",""
"TOTAL","19,448","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,383","60.04%","1,887","55.65%","9,270","59.09%"
"White
4,703","38.25%","1,476","43.53%","6,179","39.39%"
"Hispanic
47","0.38%","12","0.35%","59","0.38%"
"Native American
30","0.24%","5","0.15%","35","0.22%"
"Asian
38","0.31%","11","0.32%","49","0.31%"
"Data Unavailable
96","0.78%","0","0.00%","96","0.61%"
"TOTAL
12,297","100.00%","3,391","100.00%","15,688","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,967","12.54%","","","",""
"Property
9,063","57.77%","","","",""
"Drug
4,658","29.69%","","","",""
"TOTAL
15,688","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,076","73.35%","87","61.70%","1,163","72.33%"
"White
382","26.04%","54","38.30%","436","27.11%"
"Hispanic
8","0.55%","","0.00%","8","0.50%"
"Native American
1","0.07%","0 0 0","0.00%","","0.06%"
"Asian
0","0.00%","","0.00%","01","0.00%"
"TOTAL
1,467","100.00%","141","100.00%","1,608","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
714","44.40%","","","",""
"Property
384","23.88%","","","",""
"Drug
510","31.72%","","","",""
"TOTAL
1,608","100.00%","","","",""
