"","Fact Sheet","",""
"","","As of April 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","7",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","87",".41%"
"TVC","0","71",".34%"
"Transitional Housing","0","29",".14%"
"Court Order","0","238","1.12%"
"RRP","0","69",".33%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,258","90.91%"
"Intensive Supervision Program","0","795","3.75%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","581","2.74%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,400","6.61%"
"Other Custody","","490","2.31%"
"Off-Grounds Medical (Hospital)","","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,183","00
00
100.00%"
