"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","18,766","48.13%",""
"Community Corrections (ERS, ISP, Medical Release)","2,344","6.01%",""
"Other Custody","202","0.52%",""
"At Large (Escapees & Walk-Aways)","78","0.20%",""
"University of MS Medical Center","6","0.02%",""
"","21,396","54.87%","Inmate Total"
"PAROLEES","1,765","4.53%",""
"PROBATIONERS","15,831","40.60%",""
"","17,596","45.13%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,992","100.00%",""
