"TOTAL","18,012","","100.00%","1,452","","100.00%","","19,465","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","Asian","","Data Unavailable TOTAL",""
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","1,362","0","643","0","17","0","0","0","5","0","0","0","2,027"
"CMCF","1,335","352","922","415","23","5","6","2","7","0","0","0","3,067"
"SMCI","1,615","0","845","0","21","0","2","0","7","0","0","0","2,490"
"County Jails (approved)","314","4","365","26","6","0","0","0","2","0","0","0","717"
"County Jails (unapproved)","337","25","232","58","9","0","2","0","0","0","5","1","669"
"Youthful Offender Facility","16","1","2","0","0","0","0","0","0","0","0","0","19"
"Private Prisons","2,625","0","905","0","21","0","9","0","2","0","1","0","3,563"
"Regional Correctional Facilities","2,600","50","1,362","69","55","2","8","0","12","0","0","0","4,158"
"Community Work Centers","156","18","99","97","2","0","0","0","1","0","0","0","373"
"Community Trusties","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TVC","87","0","52","0","0","0","0","0","1","0","0","0","140"
"Transitional Housing","1","0","4","2","0","0","0","0","0","0","0","0","7"
"Pending File Review","60","2","37","6","1","0","0","0","1","0","0","0","107"
"RRP","12","0","22","12","0","0","0","0","0","0","0","0","46"
"Court Order","78","3","74","8","1","0","0","0","0","0","0","0","164"
"","10,598","455","5,564","693","156","7","27","2","38","0","6","1","17,547"
"Intensive Supervison Program","331","78","292","136","2","0","2","0","0","2","1","0","844"
"Earned Release Supervision","364","23","125","27","2","0","0","1","1","0","0","0","543"
"Medical Release","9","0","10","0","0","0","0","0","0","0","0","0","19"
"Other Custody","243","8","174","14","28","0","0","0","2","0","1","0","470"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","3","1","4","1","0","0","0","0","0","0","0","0","9"
"TOTAL","11,565","565","6,178","875","191","7","29","3","41","0","8","1","19,465"
"% OF TOTAL OFFENDERS","59.41%","2.90%","31.74%","4.50%",".98%",".04%",".15%",".02%",".21%",".00%",".04%",".01%","100.00%"
