"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","20,721","32.20%"
"Community Corrections (ERS, ISP, Medical Release)","2,914","4.53%"
"Other Custody","482",".75%"
"At Large (Escapees & Walk-Aways)","31",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","24,155","37.53%"
"PAROLEES","8,561","13.30%"
"PROBATIONERS","31,642","49.17%"
"PAROLEE AND PROBATIONER TOTAL","40,203","62.47%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","64,358","100.00%"
