"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,289","44.87%",""
"Community Corrections (ERS, ISP, Medical Release)","2,827","5.96%",""
"Other Custody","248","0.52%",""
"At Large (Escapees & Walk-Aways)","80","0.17%",""
"Off-Grounds Medical (Hospital)","9","0.02%",""
"","24,453","51.54%","Inmate Total"
"PAROLEES","2,098","4.42%",""
"PROBATIONERS","20,897","44.04%",""
"","22,995","48.46%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","47,448","100.00%",""
