"As of June 1 , 2020","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","17,710","32.55%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,471","2.70%"
"Other Custody","475",".87%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","19,692","36.19%"
"PAROLEES","9,536","17.52%"
"TVC Parole","2","0.00%"
"PROBATIONERS","25,152","46.22%"
"TVC Probation","33","0.06%"
"PAROLEE AND PROBATIONER TOTAL","34,723","63.81%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,415","100.00%"
