"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,248","25.49%"
"Central Mississippi Correctional Facility","3,665","3,044","23.89%"
"South Mississippi Correctional Institution","3,282","3,154","24.75%"
"County Jails - Approved*","1,668","1,326","10.41%"
"County Jails - Unapproved**","0","516","4.05%"
"Community Work Centers","1,848","1,454","11.41%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,111","12,742","100.00%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","296","6.97%"
"Bolivar County Correctional Facility","294","292","6.88%"
"Carroll County Correctional Facility","280","279","6.57%"
"Chickasaw County Correctional Facility","300","298","7.02%"
"George County Correctional Facility","280","277","6.53%"
"Holmes County Correctional Facility","280","279","6.57%"
"Issaquena County Correctional Facility","274","272","6.41%"
"Jefferson County Correctional Facility","280","277","6.53%"
"Kemper County Correctional Facility","355","334","7.87%"
"Leake County Correctional Facility","280","280","6.60%"
"Marion County Correctional Facility","280","279","6.57%"
"Stone County Correctional Facility","280","279","6.57%"
"Washington County Correctional Facility","300","229","5.39%"
"Winston County Correctional Facility","280","278","6.55%"
"Yazoo County Correctional Facility","300","296","6.97%"
"TOTAL REGIONAL FACILITIES","4,363","4,245","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,319","31.51%"
"Marshall County Correctional Facility","1,000","999","23.87%"
"Walnut Grove Correctional Facility","1,500","971","23.20%"
"Wilkinson County Correctional Facility","1,000","897","21.43%"
"TOTAL PRIVATE PRISONS","5,972","4,186","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","54",".21%"
"Court Order","0","380","1.50%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,468","21,619","85.34%"
"Intensive Supervision Program","0","1,609","6.35%"
"Earned Release Supervision Program","","1,600","6.32%"
"Medical Release","00","24",".09%"
"TOTAL COMMUNITY CORRECTIONS","00","3,233","12.76%"
"Other Custody","","434","1.71%"
"Off-Grounds Medical (Hospital)","0","10",".04%"
"At Large (Escapees & Walk-Aways)","0","38",".15%"
"TOTAL","25,468","25,334","100.00%"
