"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RID status)","19,398","29.65%"
"Community Corrections (ERS, ISP, Medical Release)","2,651","4.05%"
"Other Custody","504",".77%"
"At Large (Escapees & Walk-Aways)","28",".04%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","22,586","34.53%"
"PAROLEES","9,464","14.47%"
"TVC Parole","257","0.39%"
"PROBATIONERS","32,986","50.43%"
"TVC Probation","120","0.18%"
"PAROLEE AND PROBATIONER TOTAL","42,827","65.47%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,413","100.00%"
