"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","20,706","39.58%"
"Community Corrections (ERS, ISP, Medical Release)","3,432","6.56%"
"Other Custody","304","0.58%"
"At Large (Escapees & Walk-Aways)","131","0.25%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","24,580","46.98%"
"PAROLEES","2,479","4.74%"
"PROBATIONERS","25,256","48.28%"
"PAROLEE AND PROBATIONER TOTAL","27,735","53.02%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,315","100.00%"
