"**NOTE:  The number of offenders in unapproved jails includes inmates on waiver and inmates still under the 30 day deadline, awaiting transfer.","","","","","","","","","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,777","","65.59%","","","","663","","","39.16%","","","","13,440","","","","63.48%"
"White
6,422","","32.97%","","","","1,001","","","59.13%","","","","7,423","","","","35.06%"
"Hispanic
192","",".99%","","","","22","","","1.30%","","","","214","","","","1.01%"
"Native American
30","",".15%","","","","4","","",".24%","","","","34","","","",".16%"
"Asian
51","",".26%","","","","2","","",".12%","","","","53","","","",".25%"
"Data Unavailable
8","",".04%","","","","1","","",".06%","","","","9","","","",".04%"
"TOTAL
19,480","","100.00%","","","","1,693","","","100.00%","","","","21,173","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,234","","0","1,082","0","","19","0","","4","0","6","","0","1","0","3,346"
"CMCF","1,615","","352","909","542","","23","11","","7","2","4","","2","0","1","3,468"
"SMCI","1,952","","0","983","0","","22","0","","2","0","5","","0","0","0","2,964"
"County Jails (approved)","463","","5","356","29","","5","0","","2","0","2","","0","1","0","863"
"County Jails (unapproved)","177","","8","127","18","","2","0","","0","0","3","","0","2","0","337"
"Youthful Offender Facility","31","","0","1","0","","1","0","","0","0","0","","0","0","0","33"
"Private Prisons","2,385","","0","900","0","","29","0","","9","0","4","","0","0","0","3,327"
"Regional Correctional Facilities","2,321","","99","1,110","106","","33","4","","2","0","12","","0","0","0","3,687"
"Community Work Centers","415","","40","239","120","","5","2","","2","0","3","","0","1","0","827"
"Community Trusties","30","","0","12","0","","0","0","","0","0","0","","0","0","0","42"
"TVC","0","","1","1","3","","0","0","","0","0","0","","0","0","0","5"
"Pending File Review","66","","5","34","5","","2","0","","0","0","1","","0","0","0","113"
"Court Order","125","","5","85","9","","0","0","","0","0","1","","0","0","0","225"
"","11,814","","515","5,839","832","","141","17","","28","2","41","","2","5","1","19,237"
"Intensive Supervison Program","270","","89","219","103","","3","2","","1","1","5","","0","0","0","693"
"Earned Release Supervision","435","","45","139","39","","4","0","","0","0","1","","0","0","0","663"
"Medical Release","6","","0","4","2","","0","0","","0","0","0","","0","0","0","12"
"Other Custody","231","","14","206","21","","41","3","","1","1","4","","0","3","0","525"
"Transitional Housing","0","","0","0","0","","0","0","","0","0","0","","0","0","0","0"
"At Large","15","","0","6","2","","3","0","","0","0","0","","0","0","0","26"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"RRP","3","","0","4","0","","0","0","","0","0","0","","0","0","0","7"
"Off-Grounds Medical (Hospital)","3","","0","4","1","","0","0","","0","0","0","","0","0","0","8"
"TOTAL","12,777","","663","6,422","1,001","","192","22","","30","4","51","","2","8","1","21,173"
"% OF TOTAL OFFENDERS","60.35%","","3.13%","30.33%","4.73%","",".91%",".10%","",".14%",".02%",".24%","",".01%",".04%",".00%","100.00%"
