"","","","","","","As of November 1, 2009","","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","% OF","","","","","","% OF","","",""
"","","TOTAL MALE","","","","","TOTAL FEMALE","","","NO. OF","","TOTAL","","","",""
"RACE
MALE","","POPULATION","","","FEMALE","","POPULATION","","","OFFENDERS","","","OFFENDERS","","",""
"Black
15,400","","68.41%","","","1,064","","47.18%","","","16,464","","","66.48%","","",""
"White
6,824","","30.32%","","","1,167","","51.75%","","","7,991","","","32.27%","","",""
"Hispanic
220","","0.98%","","","61
6","","0.71%","","","236","","0.95%","","","",""
"Native American
24","","0.11%","","","","","0.27%","","","30","","0.12%","","","",""
"Asian
32","","0.14%","","","1 1","","0.04%","","","33","","0.13%","","","",""
"Data Unavailable
10","","0.04%","","","","","0.04%","","","11","","0.04%","","","",""
"TOTAL
22,510","","100.00%","","","2,255","","100.00%","","","24,765","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","","Black","","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,808","","0","1,091","","0","20","0","2","","0","3","0","0","0","3,924"
"CMCF","1,222","","572","724","","598","18","9","1","","2","4","1","0","0","3,151"
"SMCI","1,727","","0","929","","0","47","0","5","","0","3","0","0","0","2,711"
"County Jails (approved)","578","","84","329","","88","5","1","0","","0","0","0","0","0","1,085"
"County Jails (unapproved)","98","","9","44","","8","3","0","0","","0","0","0","0","0","162"
"Private Prisons","4,042","","0","1,430","","0","35","0","7","","0","7","0","1","0","5,522"
"Regional Correctional Facilities","2,045","","45","836","","31","24","0","5","","0","6","0","2","0","2,994"
"Community Work Centers","967","","96","400","","146","7","3","2","","2","0","0","0","0","1,623"
"Community Trusties","13","","0","2","","0","0","0","0","","0","0","0","0","0","15"
"Pending File Review","36","","5","25","","7","0","0","0","","0","0","0","0","0","73"
"Court Order","155","","13","71","","17","0","0","0","","0","0","0","0","0","256"
"","13,691","","824","5,881","","895","159","13","22","","4","23","1","3","0","21,516"
"Intensive Supervison Program","543","","135","437","","201","9","0","1","","1","5","0","2","0","1,334"
"Earned Release Supervision","963","","89","360","","53","6","0","1","","0","2","0","0","0","1,474"
"Medical Release","19","","7","8","","2","0","0","0","","0","0","0","0","0","36"
"Other Custody","154","","8","121","","13","43","3","0","","1","2","0","5","1","351"
"At Large","25","","0","14","","2","3","0","0","","0","0","0","0","0","44"
"Off-Grounds Medical (Hospital)","5","","1","3","","1","0","0","0","","0","0","0","0","0","10"
"TOTAL","15,400","","1,064","6,824","","1,167","220","16","24","","6","32","1","10","1","24,765"
"% OF TOTAL OFFENSES","62.18%","","4.30%","27.56%","","4.71%","0.89%","0.06%","0.10%","","0.02%","0.13%","0.00%","0.04%","0.00%","100.00%"
