"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,630","4,327","34.38%"
"Central Mississippi Correctional Facility","3,219","3,051","24.25%"
"South Mississippi Correctional Institution","2,306","2,164","17.20%"
"County Jails - Approved*","2,240","1,298","10.31%"
"County Jails - Unapproved**","0","64","0.51%"
"Community Work Centers","1,846","1,680","13.35%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,241","12,584","100.00%"
"Bolivar County Correctional Facility","294","291","9.91%"
"Carroll County Correctional Facility","250","245","8.34%"
"George County Correctional Facility","250","247","8.41%"
"Holmes County Correctional Facility","280","278","9.47%"
"Issaquena County Correctional Facility","274","268","9.13%"
"Jefferson County Correctional Facility","250","249","8.48%"
"Kemper County Correctional Facility","280","276","9.40%"
"Leake County Correctional Facility","280","279","9.50%"
"Marion County Correctional Facility","280","275","9.37%"
"Stone County Correctional Facility","280","278","9.47%"
"Winston County Correctional Facility","250","250","8.51%"
"TOTAL REGIONAL FACILITIES","2,968","2,936","100.00%"
"Delta Correctional Facility","972","966","19.99%"
"East MS Correctional Facility","1,000","867","17.94%"
"Marshall County Correctional Facility","1,000","991","20.50%"
"Tallahatchie County Correctional Facility","128","126","2.61%"
"Walnut Grove Correctional Facility","1,000","916","18.95%"
"Wilkinson County Correctional Facility","1,000","967","20.01%"
"TOTAL PRIVATE PRISONS","5,100","4,833","100.00%"
"Community Trusties","02
2","17","0.07%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","9","0.04%"
"Court Order","0","356","1.44%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,331","20,735","83.97%"
"Intensive Supervision Program","0","1,653","6.69%"
"Earned Release Supervision Program","00","1,883","7.63%"
"Medical Release","","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3,544","14.35%"
"Other Custody","","295","1.19%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","112","0.45%"
"TOTAL","22,331","24,693","100.00%"
