"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,063","36.56%"
"Community Corrections (ERS, ISP, Medical Release)","3,101","5.38%"
"Other Custody","367",".64%"
"At Large (Escapees & Walk-Aways)","39",".07%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","24,577","42.65%"
"PAROLEES","6,647","11.54%"
"PROBATIONERS","26,396","45.81%"
"PAROLEE AND PROBATIONER TOTAL","33,043","57.35%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","57,620","100.00%"
