"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,152","15.24%"
"Central Mississippi Correctional Facility","2,932","2,318","11.20%"
"South Mississippi Correctional Institution","2,882","2,711","13.10%"
"Youthful Offender Facility","58","28","0.14%"
"County Jails - Approved*","2,009","585","2.83%"
"County Jails - Unapproved**","0","398","1.92%"
"Community Work Centers","1,870","1,156","5.59%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,341","10,348","50.02%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","284","1.37%"
"Bolivar County Correctional Facility","369","318","1.54%"
"Carroll County Correctional Facility","280","233","1.13%"
"Chickasaw County Correctional Facility","300","290","1.40%"
"George County Correctional Facility","280","242","1.17%"
"Holmes County Correctional Facility","280","267","1.29%"
"Issaquena County Correctional Facility","274","259","1.25%"
"Jefferson County Correctional Facility","280","249","1.20%"
"Kemper County Correctional Facility","355","324","1.57%"
"Leake County Correctional Facility","280","249","1.20%"
"Marion County Correctional Facility","280","255","1.23%"
"Stone County Correctional Facility","280","277","1.34%"
"Washington County Correctional Facility","300","197","0.95%"
"Winston County Correctional Facility","280","260","1.26%"
"Yazoo County Correctional Facility","300","259","1.25%"
"TOTAL REGIONAL FACILITIES","4,438","3,963","19.16%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,118","5.40%"
"Marshall County Correctional Facility","1,000","990","4.79%"
"Walnut Grove Correctional Facility","1,500","857","4.14%"
"Wilkinson County Correctional Facility","1,000","835","4.04%"
"TOTAL PRIVATE PRISONS","5,972","3,800","18.37%"
"Community Trusties","22","12",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","67",".32%"
"Court Order","0","221","1.07%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,751","18,411","88.99%"
"Intensive Supervision Program","0","861","4.16%"
"Earned Release Supervision Program","","822","3.97%"
"Medical Release","","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","","1,697","8.20%"
"Other Custody","","546","2.64%"
"Off-Grounds Medical (Hospital)","","8","0.04%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","23,751","20,689","00
00
00
100.00%"
