"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,354","25.49%"
"Central Mississippi Correctional Facility","3,557","3,298","25.06%"
"South Mississippi Correctional Institution","3,282","3,248","24.68%"
"Youthful Offender Facility","42","23","0.17%"
"County Jails - Approved*","1,818","1,505","11.44%"
"County Jails - Unapproved**","0","254","1.93%"
"Community Work Centers","1,848","1,476","11.22%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,195","13,158","100.00%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","296","6.81%"
"Bolivar County Correctional Facility","369","366","8.42%"
"Carroll County Correctional Facility","280","281","6.46%"
"Chickasaw County Correctional Facility","300","298","6.85%"
"George County Correctional Facility","280","279","6.42%"
"Holmes County Correctional Facility","280","280","6.44%"
"Issaquena County Correctional Facility","274","273","6.28%"
"Jefferson County Correctional Facility","280","280","6.44%"
"Kemper County Correctional Facility","355","339","7.79%"
"Leake County Correctional Facility","280","280","6.44%"
"Marion County Correctional Facility","280","280","6.44%"
"Stone County Correctional Facility","280","277","6.37%"
"Washington County Correctional Facility","300","237","5.45%"
"Winston County Correctional Facility","280","279","6.42%"
"Yazoo County Correctional Facility","300","304","6.99%"
"TOTAL REGIONAL FACILITIES","4,438","4,349","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,121","25.81%"
"Marshall County Correctional Facility","1,000","999","23.00%"
"Walnut Grove Correctional Facility","1,500","1,319","30.37%"
"Wilkinson County Correctional Facility","1,000","904","20.82%"
"TOTAL PRIVATE PRISONS","5,972","4,343","100.00%"
"Community Trusties","22","10",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".24%"
"Court Order","0","422","1.61%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,627","22,345","85.50%"
"Intensive Supervision Program","0","1,657","6.34%"
"Earned Release Supervision Program","","1,602","6.13%"
"Medical Release","00","28",".11%"
"TOTAL COMMUNITY CORRECTIONS","","3,287","12.58%"
"Other Custody","0000","458","1.75%"
"Off-Grounds Medical (Hospital)","","11",".04%"
"At Large (Escapees & Walk-Aways)","","34",".13%"
"TOTAL","25,627","26,135","100.00%"
