"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of March 1, 2003","",""
"COMMUNITY CORRECTIONS STATISTICS","","","","",""
"ACTIVE CASELOADS","","","","",""
"","NO. OF","% of TOTAL","","",""
"STATUS","OFFENDERS","OFFENDERS","","",""
"Probation","10,924","50.92%","","",""
"Compact Probation","1,073","5.00%","","",""
"Nonadjudicated","2,314","10.79%","","",""
"Post Release","2,819","13.14%","","",""
"","17,130","79.85%","Probation Total","",""
"Parole","1,366","6.37%","","",""
"Compact Parole","387","1.80%","","",""
"Suspension","7","0.03%","","",""
"","1,760","8.20%","Parole Total","",""
"Intensive Supervision Program - Court","1,187","5.53%","","",""
"Intensive Supervision Program - Prison","281","1.31%","","",""
"Earned Release Supervision","1,094","5.10%","","",""
"Medical Release","0","0.00%","","",""
"","2,562","11.94%","Community Inmate Total","",""
"TOTAL","21,452","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,868","59.96%","2,168","54.68%","10,036","58.59%"
"White
5,133","39.12%","1,750","44.14%","6,883","40.18%"
"Hispanic
60","0.46%","16","0.40%","76","0.44%"
"Native American
30","0.23%","6","0.15%","36","0.21%"
"Asian
31","0.24%","25","0.63%","56","0.33%"
"Data Unavailable
0","0.00%","0","0.00%","43","0.25%"
"TOTAL
13,122","100.00%","3,965","100.00%","17,130","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
2,060","12.03%","","","",""
"Property 
9,637","56.26%","","","",""
"Drug 
5,433","31.72%","","","",""
"TOTAL
17,130","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,097","70.68%","119","57.21%","1,216","69.09%"
"White
448","28.87%","88","42.31%","536","30.45%"
"Hispanic
4","0.26%","","0.48%","5","0.28%"
"Native American
1","0.06%","1 0 0","0.00%","","0.06%"
"Asian
2","0.13%","","0.00%","21","0.11%"
"TOTAL
1,552","100.00%","208","100.00%","1,760","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
617","35.06%","","","",""
"Property 
542","30.80%","","","",""
"Drug 
601","34.15%","","","",""
"TOTAL
1,760","100.00%","","","",""
