"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,343","48.31%",""
"Community Corrections (ERS, ISP, Medical Release)","2,627","6.24%",""
"Other Custody","237","0.56%",""
"At Large (Escapees & Walk-Aways)","96","0.23%",""
"University of MS Medical Center","8","0.02%",""
"","23,311","55.36%","Inmate Total"
"PAROLEES","1,770","4.20%",""
"PROBATIONERS","17,027","40.44%",""
"","18,797","44.64%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","42,108","100.00%",""
