"","","MONTHLY FACT SHEET","","","",""
"","","As of July 1, 2001","","","",""
"ACTIVE OFFENDER POPULATION","","","","","",""
"BY TYPE","","","","","",""
"","","NO. OF","% OF TOTAL","","",""
"","","OFFENDERS","OFFENDERS","","",""
"INMATES","","","","","",""
"Custody Population","","18,333","","48.07%","",""
"Community Corrections (ERS, ISP, Medical Release)","","2,126","","5.57%","",""
"Other Custody","","204","","0.53%","",""
"At Large (Escapees & Walk-Aways)","","72","","0.19%","",""
"University of MS Medical Center","","8","","0.02%","",""
"","","20,743","","54.39%","Inmate Total",""
"PAROLEES","","1,645","","4.31%","",""
"PROBATIONERS","","15,749","","41.30%","",""
"","","17,394","","45.61%","Parolees & Probationers Total",""
"TOTAL INMATES, PAROLEES, & PROBATIONERS","","38,137","","100.00%","",""
"INMATE STATISTICS","","","","","",""
"BY LOCATION","","","","","",""
"","","NO. OF","","% OF TOTAL","",""
"","CAPACITY","OFFENDERS","","OFFENDERS","",""
"Mississippi State Penitentiary","5,631","","5,218","","41.41%",""
"Central Mississippi Correctional Facility","3,049","","3,025","","24.01%",""
"South Mississippi Correctional Institution","2,214","","1,909","","15.15%",""
"County Jails - Approved*","2,122","","1,133","","8.99%",""
"County Jails - Unapproved**","0","","44","","0.35%",""
"Community Work Centers","1320","","1,272","","10.09%",""
"","14,336","","12,601","","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","","","",""
"Bolivar County Correctional Facility","250","","197","","9.68%",""
"Carroll County Correctional Facility","250","","202","","9.93%",""
"Holmes County Correctional Facility","250","","203","","9.98%",""
"Issaquena County Correctional Facility","250","","199","","9.78%",""
"Jefferson County Correctional Facility","250","","213","","10.47%",""
"Kemper County Correctional Facility","250","","225","","11.06%",""
"Leake Correctional Facility","250","","198","","9.73%",""
"Marion County Correctional Facility","250","","201","","9.88%",""
"Stone County Correctional Facility","250","","200","","9.83%",""
"Winston County Correctional Facility","250","","197","","9.68%",""
"","2,500","","2,035","","100.00%","Regional Facilities"
"Private Prisons","","","","","",""
"Delta Correctional Facility","1,000","","843","","24.31%",""
"East MS Correctional Facility","500","","500","","14.42%",""
"Marshall County Correctional Facility","1,000","","871","","25.12%",""
"Walnut Grove Correctional Facility","500","","381","","10.99%",""
"Wilkinson County Correctional Facility","900","","873","","25.17%",""
"","3,900","","3,468","","100.00%","Private Prisons"
"Community Trusties","30","","24","","0.12%",""
"Emergency Suspension","","","18","","0.09%",""
"Court Order","","","187","","0.90%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,766","","18,333","","88.38%",""
"Intensive Supervision Program","","","1,203","","5.80%",""
"Earned Release Supervision Program","","","922","","4.44%",""
"Medical Release","0 0 0 0 0","","1","","0.00%",""
"","","","2,126","","10.25%","Community Corrections"
"Other Custody","","","204","","0.98%",""
"University of MS Medical Center","0","","8","","0.04%",""
"At Large (Escapees & Walk-Aways)","0","","72","","0.35%",""
"TOTAL","20,766","","20,743","","100.00%",""
"Pre-classification records included in the above total.","","","","","",""
"*NOTE:  The jail capacity is approved by the courts, and includes inmates, sheriff trusties,  and work program participants.","","","","","",""
"**NOTE:  The number of offenders in unapproved jails includes inmates on waiver and inmates still under the 30 day deadline, awaiting transfer.","","","","","","00"
