"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,357","35.91%"
"Community Corrections (ERS, ISP, Medical Release)","3,011","5.06%"
"Other Custody","394",".66%"
"At Large (Escapees & Walk-Aways)","37",".06%"
"Off-Grounds Medical (Hospital)","17",".03%"
"INMATE TOTAL","24,816","41.72%"
"PAROLEES","6,858","11.53%"
"PROBATIONERS","27,802","46.74%"
"PAROLEE AND PROBATIONER TOTAL","34,660","58.28%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","59,476","100.00%"
