"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,019","42.57%"
"Community Corrections (ERS, ISP, Medical Release)","3,386","6.86%"
"Other Custody","267","0.54%"
"At Large (Escapees & Walk-Aways)","107","0.22%"
"Off-Grounds Medical (Hospital)","11","0.02%"
"INMATE TOTAL","24,790","50.20%"
"PAROLEES","2,362","4.78%"
"PROBATIONERS","22,227","45.01%"
"PAROLEE AND PROBATIONER TOTAL","24,589","49.80%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","49,379","100.00%"
