"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,371","16.24%"
"Central Mississippi Correctional Facility","3,858","3,340","16.09%"
"South Mississippi Correctional Institution","3,082","3,057","14.73%"
"Youthful Offender Facility","58","26","0.13%"
"County Jails - Approved*","1,781","758","3.65%"
"County Jails - Unapproved**","0","253","1.22%"
"Community Work Centers","1,364","808","3.89%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,733","11,613","55.96%"
"Alcorn County Correctional Facility","300","238","1.15%"
"Bolivar County Correctional Facility","369","293","1.41%"
"Carroll County Correctional Facility","280","227","1.09%"
"Chickasaw County Correctional Facility","310","259","1.25%"
"George County Correctional Facility","280","242","1.17%"
"Holmes County Correctional Facility","280","223","1.07%"
"Issaquena County Correctional Facility","274","273","1.32%"
"Jefferson County Correctional Facility","280","278","1.34%"
"Kemper County Correctional Facility","355","350","1.69%"
"Leake County Correctional Facility","280","198","0.95%"
"Marion County Correctional Facility","280","262","1.26%"
"Stone County Correctional Facility","326","313","1.51%"
"Washington County Correctional Facility","300","218","1.05%"
"Winston County Correctional Facility","280","238","1.15%"
"Yazoo County Correctional Facility","300","250","1.20%"
"TOTAL REGIONAL FACILITIES","4,494","3,862","18.61%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,179","5.68%"
"Marshall County Correctional Facility","1,000","995","4.79%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","902","4.35%"
"TOTAL PRIVATE PRISONS","5,972","3,076","14.82%"
"Community Trusties","16","30",".14%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","87",".42%"
"Court Order","0","164",".79%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,199","18,832","90.74%"
"Intensive Supervision Program","0","742","3.58%"
"Earned Release Supervision Program","0","574","2.77%"
"Transitional Housing","0","1","0.00%"
"Failure to Register-Monitoring","0","2","0.01%"
"Conditional Release","0","2","0.01%"
"RRP","0","43","0.21%"
"Medical Release","0","11","0.05%"
"TOTAL COMMUNITY CORRECTIONS","","1,375","6.63%"
"Other Custody","","511","2.46%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","24,199","20,753","100.00%"
"*NOTE:  The jail capacity is approved by the courts, and includes inmates, sheriff trusties,  and work program participants.","","","0 0"
