"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,521","35.89%"
"Community Corrections (ERS, ISP, Medical Release)","3,229","5.15%"
"Other Custody","483",".77%"
"At Large (Escapees & Walk-Aways)","32",".05%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","26,274","41.87%"
"PAROLEES","6,562","10.46%"
"PROBATIONERS","29,921","47.68%"
"PAROLEE AND PROBATIONER TOTAL","36,483","58.13%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,757","100.00%"
