"TOTAL","19,598","","100.00%","1,716","","100.00%","","21,314","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","Asian","","Data Unavailable TOTAL",""
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,262","0","950","0","24","0","2","0","10","0","2","0","3,250"
"CMCF","1,569","401","1,090","582","29","5","1","1","9","1","0","1","3,689"
"SMCI","1,669","0","940","0","27","0","2","0","4","0","0","0","2,642"
"County Jails (approved)","371","1","329","17","4","0","0","0","1","0","0","0","723"
"County Jails (unapproved)","210","18","144","30","5","0","0","0","0","0","1","0","408"
"Youthful Offender Facility","25","0","3","0","0","0","0","0","0","0","0","0","28"
"Private Prisons","2,290","0","887","0","18","0","8","0","2","0","0","0","3,205"
"Regional Correctional Facilities","2,638","58","1,388","91","56","2","9","0","12","0","0","0","4,254"
"Community Work Centers","269","24","183","135","3","2","1","2","3","0","0","0","622"
"Community Trusties","5","0","1","0","0","0","0","0","0","0","0","0","6"
"TVC","56","0","26","0","0","0","0","0","0","0","0","0","82"
"Transitional Housing","10","2","10","5","0","0","0","0","0","0","0","0","27"
"Pending File Review","34","2","37","2","3","0","0","0","1","0","0","0","79"
"RRP","22","3","25","19","0","1","0","0","0","0","1","0","71"
"Court Order","136","5","115","13","0","1","0","0","0","0","0","0","270"
"","11,566","514","6,128","894","169","11","23","3","42","1","4","1","19,356"
"Intensive Supervison Program","336","74","273","129","3","1","0","0","0","1","1","0","818"
"Earned Release Supervision","402","28","123","22","0","2","0","1","2","0","0","0","580"
"Medical Release","5","0","9","1","0","0","0","0","0","0","0","0","15"
"Other Custody","250","6","187","24","31","0","1","0","2","0","1","0","502"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","6","0","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","12,583","622","6,733","1,073","206","14","24","4","46","2","6","1","21,314"
"% OF TOTAL OFFENDERS","59.04%","2.92%","31.59%","5.03%",".97%",".07%",".11%",".02%",".22%",".01%",".03%",".00%","100.00%"
