"","","As of November 1, 2019","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","412","327","551","1,944","3,234"
"CMCF","855","914","353","1,424","3,546"
"SMCI","477","382","486","1,304","2,649"
"Youthful Offender Facility","0","5","3","18","26"
"County Jails (approved)","408","184","7","159","758"
"County Jails (unapproved)","107","136","11","58","312"
"Private Prisons","257","255","537","2,138","3,187"
"Regional Correctional Facilities","705","615","845","2,152","4,317"
"Community Work Centers","353","126","0","95","574"
"Community Trusties","6","1","0","0","7"
"Pending File Review","28","32","0","15","75"
"Court Order","78","75","14","66","233"
"Transitional Housing","7","5","0","3","15"
"RRP","37","33","0","10","80"
"TVC","51","13","0","14","78"
"TOTAL CUSTODY POPULATION","3,781","3,103","2,807","9,400","19,091"
"% OF TOTAL OFFENSES","19.81%","16.25%","14.70%","49.24%","100.00%"
"Intensive Supervison Program","339","403","10","104","856"
"Earned Release Supervision","44","34","11","499","588"
"Medical Release","8","2","0","4","14"
"Other Custody","166","181","27","124","498"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","1","2","2","8"
"TOTAL","4,349","3,738","2,858","10,143","21,088"
"% OF TOTAL OFFENSES","20.62%","17.73%","13.55%","48.10%","100.00%"
