"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,529","4,528","34.25%"
"Central Mississippi Correctional Facility","3,293","3,300","24.96%"
"South Mississippi Correctional Institution","2,155","2,070","15.66%"
"County Jails - Approved*","1,824","1,366","10.33%"
"County Jails - Unapproved**","0","178","1.35%"
"Community Work Centers","1,816","1,780","13.46%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,617","13,222","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","294","9.57%"
"Carroll County Correctional Facility","280","280","9.11%"
"George County Correctional Facility","280","279","9.08%"
"Holmes County Correctional Facility","280","281","9.15%"
"Issaquena County Correctional Facility","274","273","8.89%"
"Jefferson County Correctional Facility","274","271","8.82%"
"Kemper County Correctional Facility","280","280","9.11%"
"Leake County Correctional Facility","280","280","9.11%"
"Marion County Correctional Facility","280","280","9.11%"
"Stone County Correctional Facility","280","276","8.98%"
"Winston County Correctional Facility","280","278","9.05%"
"TOTAL REGIONAL FACILITIES","3,082","3,072","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","971","19.95%"
"East MS Correctional Facility","1,000","853","17.53%"
"Marshall County Correctional Facility","1,000","996","20.46%"
"Tallahatchie County Correctional Facility","128","128","2.63%"
"Walnut Grove Correctional Facility","1,000","948","19.48%"
"Wilkinson County Correctional Facility","1,000","971","19.95%"
"TOTAL PRIVATE PRISONS","5,100","4,867","100.00%"
"Community Trusties","2","20","0.08%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","51","0.20%"
"Court Order","0","300","1.19%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,821","21,532","85.47%"
"Intensive Supervision Program","0","1,529","6.07%"
"Earned Release Supervision Program","","1,679","6.67%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,217","12.77%"
"Other Custody","","309","1.23%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","127","0.50%"
"TOTAL","21,821","25,191","100.00%"
