"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of July 2, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","00","0",".00%"
"Pending File Review","","139",".65%"
"TVC","0","39",".18%"
"Transitional Housing","0","38","0.2%"
"Court Order","0","188",".89%"
"RRP","0","130",".61%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,377","91.27%"
"Intensive Supervision Program","0","744","3.50%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","605","2.85%"
"Failure to Register-Monitoring","0","5","0.02%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,371","6.46%"
"Other Custody","","445","2.10%"
"Off-Grounds Medical (Hospital)","00","12","0.06%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,881","21,231","100.00%"
