"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","19,073","48.68%",""
"Community Corrections (ERS, ISP, Medical Release)","2,468","6.30%",""
"Other Custody","213","0.54%",""
"At Large (Escapees & Walk-Aways)","95","0.24%",""
"University of MS Medical Center","6","0.02%",""
"","21,855","55.78%","Inmate Total"
"PAROLEES","1,859","4.74%",""
"PROBATIONERS","15,466","39.47%",""
"","17,325","44.22%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","39,180","100.00%",""
