"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,172","","67.22%","","","","940","","","43.78%","","","","16,112","","","","65.18%"
"White
7,112","","31.51%","","","","1,185","","","55.19%","","","","8,297","","","","33.57%"
"Hispanic
208","",".92%","","","","12","","",".56%","","","","220","","","",".89%"
"Native American
32","",".14%","","","","","","",".33%","","","","39","","","",".16%"
"Asian
35","",".16%","","","","7 2","","",".09%","","","","37","","","",".15%"
"Data Unavailable
12","",".05%","","","","1","","",".05%","","","","13","","","",".05%"
"TOTAL
22,571","","100.00%","","","","2,147","","","100.00%","","","","24,718","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,257","","1","980","0","","18","0","","1","0","4","","0","0","0","3,261"
"CMCF","1,290","","506","817","575","","14","6","","4","4","2","","1","0","0","3,219"
"SMCI","2,117","","0","1,005","0","","44","0","","6","0","3","","0","0","0","3,175"
"County Jails (approved)","650","","56","364","77","","6","0","","2","0","0","","0","0","0","1,155"
"County Jails (unapproved)","119","","3","70","11","","1","0","","0","0","1","","0","2","0","207"
"Private Prisons","3,926","","0","1,266","0","","30","0","","8","0","2","","0","1","0","5,233"
"Regional Correctional Facilities","1,965","","32","925","28","","35","0","","2","0","6","","0","2","0","2,995"
"Community Work Centers","850","","68","459","128","","5","1","","0","0","5","","0","0","0","1,516"
"Community Trusties","10","","0","3","0","","0","0","","0","0","0","","0","0","0","13"
"Pending File Review","72","","12","31","18","","1","0","","0","0","0","","0","0","0","134"
"Court Order","137","","11","84","15","","0","0","","1","0","1","","0","0","0","249"
"","13,393","","689","6,004","852","","154","7","","24","4","24","","1","5","0","21,157"
"Intensive Supervison Program","660","","154","568","245","","7","0","","6","1","7","","1","2","1","1,652"
"Earned Release Supervision","902","","80","392","63","","7","0","","0","1","2","","0","0","0","1,447"
"Medical Release","23","","8","9","3","","0","0","","0","0","0","","0","0","0","43"
"Other Custody","166","","8","126","19","","37","5","","2","1","2","","0","5","0","371"
"At Large","23","","0","11","2","","3","0","","0","0","0","","0","0","0","39"
"Off-Grounds Medical (Hospital)","5","","1","2","1","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","15,172","","940","7,112","1,185","","208","12","","32","7","35","","2","12","1","24,718"
"% OF TOTAL OFFENDERS","61.38%","","3.80%","28.77%","4.79%","",".84%",".05%","",".13%",".03%",".14%","",".01%",".05%",".00%","100.00%"
