"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,532","41.21%"
"Community Corrections (ERS, ISP, Medical Release)","3,217","6.16%"
"Other Custody","309","0.59%"
"At Large (Escapees & Walk-Aways)","127","0.24%"
"Off-Grounds Medical (Hospital)","6","0.01%"
"INMATE TOTAL","25,191","48.21%"
"PAROLEES","2,405","4.60%"
"PROBATIONERS","24,659","47.19%"
"PAROLEE AND PROBATIONER TOTAL","27,064","51.79%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52,255","100.00%"
