"","","Fact Sheet",""
"","","As of November 1, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","10",".05%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","124",".59%"
"TVC","0","52",".25%"
"Transitional Housing","0","42","0.2%"
"Court Order","0","264","1.25%"
"RRP","0","83",".39%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,306","91.18%"
"Intensive Supervision Program","0","754","3.56%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","583","2.75%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,360","6.42%"
"Other Custody","","465","2.20%"
"Off-Grounds Medical (Hospital)","","18","0.09%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,174","00
00
100.00%"
