"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,524","28.11%"
"Community Corrections (ERS, ISP, Medical Release)","2,045","3.10%"
"Other Custody","529",".80%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","21,134","32.07%"
"PAROLEES","9,180","13.93%"
"TVC Parole","352","0.53%"
"PROBATIONERS","35,092","53.24%"
"TVC Probation","149","0.23%"
"PAROLEE AND PROBATIONER TOTAL","44,773","67.93%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,907","100.00%"
