"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,344","28.69%"
"Central Mississippi Correctional Facility (includes TVC)","3,657","2,391","20.52%"
"South Mississippi Correctional Institution","3,282","3,213","27.57%"
"Youthful Offender Facility","42","39","0.33%"
"County Jails - Approved*","1,973","1,361","11.68%"
"County Jails - Unapproved**","0","113","0.97%"
"Community Work Centers","1,870","1,193","10.24%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,472","11,654","100.00%"
"Alcorn County Correctional Facility","360","299","6.79%"
"Bolivar County Correctional Facility","369","369","8.38%"
"Carroll County Correctional Facility","280","279","6.34%"
"Chickasaw County Correctional Facility","362","299","6.79%"
"George County Correctional Facility","280","278","6.31%"
"Holmes County Correctional Facility","276","276","6.27%"
"Issaquena County Correctional Facility","274","275","6.25%"
"Jefferson County Correctional Facility","280","273","6.20%"
"Kemper County Correctional Facility","355","354","8.04%"
"Leake County Correctional Facility","280","276","6.27%"
"Marion County Correctional Facility","280","280","6.36%"
"Stone County Correctional Facility","280","279","6.34%"
"Washington County Correctional Facility","300","289","6.56%"
"Winston County Correctional Facility","280","278","6.31%"
"Yazoo County Correctional Facility","300","299","6.79%"
"TOTAL REGIONAL FACILITIES","4,556","4,403","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,202","28.16%"
"Marshall County Correctional Facility","1,000","1,000","23.43%"
"Walnut Grove Correctional Facility","1,500","1,248","29.24%"
"Wilkinson County Correctional Facility","1,000","818","19.17%"
"TOTAL PRIVATE PRISONS","5,972","4,268","100.00%"
"Community Trusties","0","7",".03%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","59",".24%"
"Court Order","0","245","1.02%"
"TOTAL CAPACITY & CUSTODY POPULATION","26,000","20,636","85.54%"
"Intensive Supervision Program","0","1,637","6.79%"
"Earned Release Supervision Program","","1,309","5.43%"
"Medical Release","","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","","2,971","12.32%"
"Other Custody","","473","1.96%"
"Off-Grounds Medical (Hospital)","0000","20",".08%"
"At Large (Escapees & Walk-Aways)","","25",".10%"
"TOTAL","26,000","24,125","00
100.00%"
