"","","","As of February 1, 2019","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","407","347","579","1,906","3,239"
"CMCF","956","916","316","1,451","3,639"
"SMCI","506","455","535","1,415","2,911"
"Youthful Offender Facility","0","7","2","27","36"
"County Jails (approved)","363","179","7","156","705"
"County Jails (unapproved)","94","116","10","49","269"
"Private Prisons","250","256","540","2,101","3,147"
"Regional Correctional Facilities","652","480","809","1,931","3,872"
"Community Work Centers","372","150","0","124","646"
"Community Trusties","6","0","0","1","7"
"Pending File Review","29","47","5","29","110"
"Court Order","95","83","13","93","284"
"Transitional Housing","3","9","1","8","21"
"RRP","30","35","0","10","75"
"TVC","44","10","0","18","72"
"TOTAL CUSTODY POPULATION","3,807","3,090","2,817","9,319","19,033"
"% OF TOTAL OFFENSES","20.00%","16.23%","14.80%","48.96%","100.00%"
"Intensive Supervison Program","304","367","10","88","769"
"Earned Release Supervision","47","38","11","470","566"
"Medical Release","12","1","0","2","15"
"Other Custody","149","179","24","114","466"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","3","2","2","10"
"TOTAL","4,331","3,692","2,865","10,005","20,893"
"% OF TOTAL OFFENSES","20.73%","17.67%","13.71%","47.89%","100.00%"
