"Off-Grounds Medical (Hospital)","","","0","","","","","","16","","","","","","0.08%"
"At Large (Escapees & Walk-Aways)","","","0","","","","","","29","","","","","","0.14%"
"TOTAL","","","23,881","","","","","","20,876","","","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","",""
"","% OF","","","","","","","% OF","","","","","","","% OF"
"","","TOTAL MALE","","","","","","TOTAL FEMALE","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","FEMALE","","","POPULATION","","","OFFENDERS","","","","OFFENDERS"
"Black
12,302","64.16%","","","","607","","","35.64%","","","12,909","","","","61.84%"
"White
6,589","34.37%","","","","1,071","","","62.89%","","","7,660","","","","36.69%"
"Hispanic
206","1.07%","","","","13","","",".76%","","","219","","","","1.05%"
"Native American
27",".14%","","","","5","","",".29%","","","32","","","",".15%"
"Asian
41",".21%","","","","5","","",".29%","","","46","","","",".22%"
"Data Unavailable
8",".04%","","","","2","","",".12%","","","10","","","",".05%"
"TOTAL
19,173","100.00%","","","","1,703","","","100.00%","","","20,876","","","","100.00%"
"","Black","","White","","","Hispanic","","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","Female","Male","Female","","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,323","0","1,033","0","","29","0","3","","0","4","0","0","0","3,392"
"CMCF","1,347","357","969","557","","26","4","4","","4","7","2","3","1","3,281"
"SMCI","1,716","0","896","0","","29","0","1","","0","3","0","0","0","2,645"
"County Jails (approved)","328","1","312","9","","4","0","0","","0","2","0","2","0","658"
"County Jails (unapproved)","188","9","141","33","","6","1","0","","0","3","0","0","0","381"
"Youthful Offender Facility","25","0","3","0","","1","0","0","","0","0","0","0","0","29"
"Private Prisons","2,301","0","876","0","","19","0","7","","0","2","0","1","0","3,206"
"Regional Correctional Facilities","2,618","88","1,418","123","","49","3","7","","0","12","0","1","0","4,319"
"Community Work Centers","283","28","206","123","","4","3","2","","1","0","1","0","0","651"
"Community Trusties","23","0","19","0","","0","0","0","","0","1","0","0","0","43"
"TVC","0","0","0","0","","0","0","0","","0","0","0","0","0","0"
"Transitional Housing","16","3","13","5","","0","0","0","","0","0","0","0","0","37"
"Pending File Review","44","1","34","2","","0","0","0","","0","1","0","0","0","82"
"RRP","36","5","37","22","","1","0","0","","0","0","0","0","0","101"
"Court Order","121","4","84","15","","0","0","0","","0","2","1","0","0","227"
"","11,369","496","6,041","889","","168","11","24","","5","37","4","7","1","19,052"
"Intensive Supervison Program","293","75","231","134","","4","1","2","","0","1","1","0","1","743"
"Earned Release Supervision","389","29","118","26","","1","1","0","","0","1","0","0","0","565"
"Medical Release","7","0","5","1","","0","0","0","","0","0","0","0","0","13"
"Other Custody","214","7","178","18","","29","0","1","","0","2","0","1","0","450"
"At Large","17","0","7","2","","3","0","0","","0","0","0","0","0","29"
"Conditional Release","1","0","1","1","","0","0","0","","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","","0","0","0","","0","0","0","0","0","5"
"Off-Grounds Medical (Hospital)","10","0","5","0","","1","0","0","","0","0","0","0","0","16"
"TOTAL","12,302","607","6,589","1,071","","206","13","27","","5","41","5","8","2","20,876"
"% OF TOTAL OFFENDERS","58.93%","2.91%","31.56%","5.13%","",".99%",".06%",".13%","",".02%",".20%",".02%",".04%",".01%","100.00%"
