"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,234","","0","1,082","0","19","","0","4","","0","6","","0","1","0","","3,346"
"CMCF","1,615","","352","909","542","23","","11","7","","2","4","","2","0","1","","3,468"
"SMCI","1,952","","0","983","0","22","","0","2","","0","5","","0","0","0","","2,964"
"County Jails (approved)","463","","5","356","29","5","","0","2","","0","2","","0","1","0","","863"
"County Jails (unapproved)","177","","8","127","18","2","","0","0","","0","3","","0","2","0","","337"
"Youthful Offender Facility","31","","0","1","0","1","","0","0","","0","0","","0","0","0","","33"
"Private Prisons","2,385","","0","900","0","29","","0","9","","0","4","","0","0","0","","3,327"
"Regional Correctional Facilities","2,321","","99","1,110","106","33","","4","2","","0","12","","0","0","0","","3,687"
"Community Work Centers","415","","40","239","120","5","","2","2","","0","3","","0","1","0","","827"
"Community Trusties","30","","0","12","0","0","","0","0","","0","0","","0","0","0","","42"
"TVC","0","","1","1","3","0","","0","0","","0","0","","0","0","0","","5"
"Pending File Review","66","","5","34","5","2","","0","0","","0","1","","0","0","0","","113"
"Court Order","125","","5","85","9","0","","0","0","","0","1","","0","0","0","","225"
"","11,814","","515","5,839","832","141","","17","28","","2","41","","2","5","1","","19,237"
"Intensive Supervison Program","270","","89","219","103","3","","2","1","","1","5","","0","0","0","","693"
"Earned Release Supervision","435","","45","139","39","4","","0","0","","0","1","","0","0","0","","663"
"Medical Release","6","","0","4","2","0","","0","0","","0","0","","0","0","0","","12"
"Other Custody","231","","14","206","21","41","","3","1","","1","4","","0","3","0","","525"
"Transitional Housing","0","","0","0","0","0","","0","0","","0","0","","0","0","0","","0"
"At Large","15","","0","6","2","3","","0","0","","0","0","","0","0","0","","26"
"Conditional Release","0","","0","1","1","0","","0","0","","0","0","","0","0","0","","2"
"RRP","3","","0","4","0","0","","0","0","","0","0","","0","0","0","","7"
"Off-Grounds Medical (Hospital)","3","","0","4","1","0","","0","0","","0","0","","0","0","0","","8"
"TOTAL","12,777","","663","6,422","1,001","192","","22","30","","4","51","","2","8","1","","21,173"
"% OF TOTAL OFFENDERS","60.35%","","3.13%","30.33%","4.73%",".91%","",".10%",".14%","",".02%",".24%","",".01%",".04%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","609","588","","","175","","","1,422","","","552","","","","3,346",""
"CMCF","","","854","1,003","","","157","","","1,110","","","344","","","","3,468",""
"SMCI","","","504","600","","","186","","","1,119","","","555","","","","2,964",""
"County Jails (approved)","","","448","289","","","16","","","104","","","","","","","863",""
"Youthful Offender Facility","","","0","0","","","5","","","24","","","","","","","33",""
"County Jails (unapproved)","","","102","143","","","16","","","64","","","12","","","","337",""
"Private Prisons","","","328","389","","","236","","","1,762","","","612","","","","3,327",""
"Regional Correctional Facilities","","","612","685","","","297","","","1,378","","","715","","","","3,687",""
"Community Work Centers","","","485","270","","","0","","","72","","","0","","","","827",""
"Community Trusties","","","26","14","","","0","","","2","","","0","","","","42",""
"Pending File Review","","","51","38","","","4","","","16","","","4","","","","113",""
"Court Order","","","71","85","","","10","","","53","","","6","","","","225",""
"TVC","","","1","4","","","0","","","0","","","0","","","","5",""
"TOTAL CUSTODY POPULATION","","","4,091","4,104","","","1,102","","","7,126","","","2,810","","","","19,237",""
"% OF TOTAL OFFENSES","","","21.27%","21.33%","","","5.73%","","","37.04%","","","14.61%","","","","99.98%",""
"Intensive Supervison Program","","","292","334","","","10","","","51","","","6","","","","693",""
"Earned Release Supervision","","","190","44","","","124","","","299","","","6","","","","663",""
"Medical Release","","","6","4","","","0","","","2","","","0","","","","12",""
"Other Custody","","","176","220","","","16","","","88","","","25","","","","525",""
"At Large","","","","14","","","0","","","6","","","0","","","","26",""
"Transitional Housing","","","","0","","","0","","","0","","","0","","","","0",""
"Conditional Release","","","6 0 0 2 0","0","","","0","","","2","","","0","","","","2",""
"RRP","","","","2","","","0","","","3","","","0","","","","7",""
"Off-Grounds Medical (Hospital)","","","","3","","","0","","","2","","","3","","","","8",""
"TOTAL","","","4,763","4,725","","","1,252","","","7,579","","","2,850","","","","21,173",""
"% OF TOTAL OFFENSES","","","22.50%","22.32%","","","5.91%","","","35.80%","","","13.46%","","","","99.99%","6 4"
