"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of June 1, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","00","0",".00%"
"Pending File Review","","122",".58%"
"TVC","0","20",".09%"
"Transitional Housing","0","29","0.2%"
"Court Order","0","209",".99%"
"RRP","0","132",".63%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,270","91.34%"
"Intensive Supervision Program","0","705","3.34%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","614","2.91%"
"Failure to Register-Monitoring","0","5","0.02%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,342","6.36%"
"Other Custody","","448","2.12%"
"Off-Grounds Medical (Hospital)","00","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23,881","21,098","100.00%"
