"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,277","26.48%"
"Central Mississippi Correctional Facility","3,449","3,093","24.99%"
"South Mississippi Correctional Institution","3,204","3,161","25.54%"
"County Jails - Approved*","1,539","1,163","9.40%"
"County Jails - Unapproved**","0","179","1.45%"
"Community Work Centers","1,848","1,504","12.15%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,475","12,377","100.00%"
"Bolivar County Correctional Facility","294","236","7.88%"
"Carroll County Correctional Facility","280","225","7.51%"
"Chickasaw County Correctional Facility","300","237","7.91%"
"George County Correctional Facility","280","224","7.48%"
"Holmes County Correctional Facility","280","224","7.48%"
"Issaquena County Correctional Facility","274","219","7.31%"
"Jefferson County Correctional Facility","280","222","7.41%"
"Kemper County Correctional Facility","355","282","9.41%"
"Leake County Correctional Facility","280","223","7.44%"
"Marion County Correctional Facility","280","224","7.48%"
"Stone County Correctional Facility","280","224","7.48%"
"Winston County Correctional Facility","280","224","7.48%"
"Yazoo County Correctional Facility","300","232","7.74%"
"TOTAL REGIONAL FACILITIES","3,763","2,996","100.00%"
"Delta Correctional Facility","972","900","17.05%"
"East MS Correctional Facility","1,500","1,361","25.78%"
"Marshall County Correctional Facility","1,000","940","17.80%"
"Walnut Grove Correctional Facility","1,500","1,205","22.82%"
"Wilkinson County Correctional Facility","1,000","874","16.55%"
"TOTAL PRIVATE PRISONS","5,972","5,280","100.00%"
"Community Trusties","2","16",".07%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","00","136",".55%"
"Court Order","","258","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,232","21,063","85.70%"
"Intensive Supervision Program","0","1,604","6.53%"
"Earned Release Supervision Program","","1,453","5.91%"
"Medical Release","00","44",".18%"
"TOTAL COMMUNITY CORRECTIONS","00","3,101","12.62%"
"Other Custody","","367","1.49%"
"Off-Grounds Medical (Hospital)","","73",".03%"
"At Large (Escapees & Walk-Aways)","00","9",".16%"
"TOTAL","24,232","24,577","100.00%"
