"","Fact Sheet","",""
"","","As of December 2, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","8",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","124",".59%"
"TVC","0","68",".32%"
"Transitional Housing","0","9",".04%"
"Court Order","0","203",".96%"
"RRP","0","85",".40%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,076","90.56%"
"Intensive Supervision Program","0","876","4.16%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","568","2.70%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,469","6.97%"
"Other Custody","0","486","2.31%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,065","100.00%"
