"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","20,534","47.59%",""
"Community Corrections (ERS, ISP, Medical Release)","2,596","6.02%",""
"Other Custody","184","0.43%",""
"At Large (Escapees & Walk-Aways)","153","0.35%",""
"University of MS Medical Center","6","0.01%",""
"","23,473","54.40%","Inmate Total"
"PAROLEES","1,758","4.07%",""
"PROBATIONERS","17,920","41.53%",""
"","19,678","45.60%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","43,151","100.00%",""
