"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,055","40.26%"
"Community Corrections (ERS, ISP, Medical Release)","2,894","5.28%"
"Other Custody","340","0.62%"
"At Large (Escapees & Walk-Aways)","53","0.10%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","25,349","46.27%"
"PAROLEES","4,738","8.65%"
"PROBATIONERS","24,693","45.08%"
"PAROLEE AND PROBATIONER TOTAL","29,431","53.73%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,780","100.00%"
