"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of December1, 2003","",""
"COMMUNITY CORRECTIONS STATISTICS","","","","",""
"ACTIVE CASELOADS","","","","",""
"","NO. OF","% of TOTAL","","",""
"STATUS","OFFENDERS","OFFENDERS","","",""
"Probation","11,472","48.76%","","",""
"Compact Probation","1,064","4.52%","","",""
"Nonadjudicated","2,327","9.89%","","",""
"Post Release","4,253","18.08%","","",""
"","19,116","81.25%","Probation Total","",""
"Parole","1,391","5.91%","","",""
"Compact Parole","419","1.78%","","",""
"Suspension","6","0.03%","","",""
"","1,816","7.72%","Parole Total","",""
"Intensive Supervision Program - Court","1,010","4.29%","","",""
"Intensive Supervision Program - Prison","301","1.28%","","",""
"Earned Release Supervision","1,285","5.46%","","",""
"Medical Release","0","0.00%","","",""
"","2,596","11.03%","Community Inmate Total","",""
"TOTAL","23,528","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,744","59.55%","2,276","52.37%","11,020","57.65%"
"White
5,806","39.54%","2,031","46.73%","7,837","41.00%"
"Hispanic
73","0.50%","13","0.30%","86","0.45%"
"Native American
25","0.17%","4","0.09%","29","0.15%"
"Asian
36","0.25%","22","0.51%","58","0.30%"
"Data Unavailable
0","0.00%","0","0.00%","86","0.45%"
"TOTAL
14,684","100.00%","4,346","100.00%","19,116","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
2,284","11.95%","","","",""
"Property 
10,519","55.03%","","","",""
"Drug 
6,313","33.02%","","","",""
"TOTAL
19,116","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,055","66.69%","129","55.13%","1,184","65.20%"
"White
514","32.49%","103","44.02%","617","33.98%"
"Hispanic
11","0.70%","2 0","0.85%","13","0.72%"
"Native American
1","0.06%","","0.00%","11","0.06%"
"Asian
1","0.06%","0","0.00%","","0.06%"
"TOTAL
1,582","100.00%","234","100.00%","1,816","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent 
571","31.44%","","","",""
"Property 
561","30.89%","","","",""
"Drug 
684","37.67%","","","",""
"TOTAL
1,816","100.00%","","","",""
