"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,393","25.47%"
"Central Mississippi Correctional Facility","3,557","3,254","24.43%"
"South Mississippi Correctional Institution","3,282","3,208","24.08%"
"Youthful Offender Facility","42","31","0.23%"
"County Jails - Approved*","1,872","1,548","11.62%"
"County Jails - Unapproved**","0","374","2.81%"
"Community Work Centers","1,848","1,514","11.36%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,322","100.00%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","295","6.67%"
"Bolivar County Correctional Facility","369","367","8.30%"
"Carroll County Correctional Facility","280","279","6.31%"
"Chickasaw County Correctional Facility","300","300","6.79%"
"George County Correctional Facility","280","281","6.36%"
"Holmes County Correctional Facility","280","279","6.31%"
"Issaquena County Correctional Facility","274","274","6.20%"
"Jefferson County Correctional Facility","280","278","6.29%"
"Kemper County Correctional Facility","355","359","8.12%"
"Leake County Correctional Facility","280","280","6.33%"
"Marion County Correctional Facility","280","279","6.31%"
"Stone County Correctional Facility","280","278","6.29%"
"Washington County Correctional Facility","300","293","6.63%"
"Winston County Correctional Facility","280","280","6.33%"
"Yazoo County Correctional Facility","300","299","6.76%"
"TOTAL REGIONAL FACILITIES","4,438","4,421","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,119","26.01%"
"Marshall County Correctional Facility","1,000","999","23.22%"
"Walnut Grove Correctional Facility","1,500","1,295","30.10%"
"Wilkinson County Correctional Facility","1,000","889","20.66%"
"TOTAL PRIVATE PRISONS","5,972","4,302","100.00%"
"Community Trusties","22","9",".03%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","88",".33%"
"Court Order","0","387","1.47%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,529","85.41%"
"Intensive Supervision Program","0","1,605","6.08%"
"Earned Release Supervision Program","","1,681","6.37%"
"Medical Release","","25",".09%"
"TOTAL COMMUNITY CORRECTIONS","","3,311","12.55%"
"Other Custody","","498","1.89%"
"Off-Grounds Medical (Hospital)","0000","9",".03%"
"At Large (Escapees & Walk-Aways)","","32",".12%"
"TOTAL","25,681","26,379","00
100.00%"
